entry_date,VS_payoff,A_current_net,B_theory_net,D_no_hedge_net
2020-10-01,8492.840157998422,5015.334416500025,966.6850300000044,30005.575
2020-11-02,71035.21026708401,25917.56292199998,117828.82083549992,35836.2
2020-12-01,29292.2344688463,22169.768573999972,25668.918521499992,29050.775
2021-01-04,29177.389719081104,16098.45130150006,23275.50214500004,44277.575
2021-02-01,46983.26281713893,26400.041760000033,44785.68353799998,53361.025
2021-03-01,24732.183185424776,19061.450494999997,21353.32887400002,39291.725
2021-04-01,14748.427350936012,32.02994399999298,17969.900279999918,6727.1
2021-05-03,2702.6171407353236,7846.66490250004,2450.0320530000618,20523.1125
2021-06-01,15518.844199935847,11442.522223999998,16854.691135000005,20451.2875
2021-07-01,4506.503632578495,141.04432400002625,6004.302123,13682.0
2021-08-02,16588.197583780995,9151.327646999984,22774.82807300004,16883.3625
2021-09-01,1913.8537302206166,13390.95311750007,-516.2633774999488,542.7999999999997
2021-10-01,18032.25782314897,9048.154374000018,39163.70682750004,10212.6125
2021-11-01,6665.605501464947,4100.337864000033,5092.538256000032,15269.85
2021-12-01,38215.42735847083,22170.792174000035,65048.17968600009,51230.7125
2022-01-03,-16966.901575010826,20324.110922499804,-15086.44434550006,-23821.125
2022-02-01,-18420.117229271957,6150.857282999976,-18471.60125000002,16719.425
2022-03-01,23415.591531749546,15327.02614050002,52918.93960450002,38188.4375
2022-04-01,-39251.86482695868,-15111.685137000108,-31247.806508000034,-61366.75
2022-05-02,-21355.437002994528,11228.964535000032,-21262.362640500003,73475.25
2022-06-01,-46109.75256941192,10349.948997000083,-46187.56125899986,-20319.1875
2022-07-01,26662.52759015817,14836.990394000026,26371.807185499885,-4815.524999999998
2022-08-01,678.7089225086113,4420.217109999996,-90.67056549998796,32855.225
2022-09-01,-1602.1248214446102,5441.65861350017,-12179.087398999829,-8101.224999999999
2022-10-03,2724.0348756552985,-949.7395220001054,-4429.75784550016,34411.325
2022-11-01,-16679.903843298496,-14885.765907499976,-18159.93891849996,19763.525
2022-12-01,566.1132597783239,2881.632462999761,-17625.66825750022,-59304.0
2023-01-03,17789.973631506004,5976.908159000053,20362.71719150006,-12971.675
2023-02-01,2702.6831198507657,9578.968529499944,6621.396309499922,5504.6125
2023-03-01,5487.172809121151,3195.9086574999637,1249.4688989999636,32019.35
2023-04-03,12417.172792535946,12064.75638949994,10055.091006499932,22706.4875
2023-05-01,2970.5988752551993,3589.8201119999494,1003.6245009999568,16992.6375
2023-06-01,6944.15610290897,1425.6667779999962,14968.24158999992,10650.3875
2023-07-03,6011.198443695713,2682.621597500034,3386.642538500028,11215.0375
2023-08-01,-281.47742947922177,7163.432444500053,-2040.4178675000107,10701.2375
2023-09-01,-4801.538900849485,1853.7462964999597,4664.9578654999505,-23675.6125
2023-10-02,1291.3160545040582,7351.909804999957,-412.83487400006254,17510.75
2023-11-01,3298.8177487303374,-4206.51436299998,29974.666344000027,-12672.4
2023-12-01,-703.3033302663149,786.402743,7214.94583599997,-1027.3125
2024-01-02,3263.930797166862,509.5697574999781,-613.039476500012,7970.9125
2024-02-01,1335.948419179266,-1663.726855000033,2293.5851209999564,3740.6125
2024-03-01,3398.6914276555694,2892.9534240000016,2335.989485499988,9999.1875
2024-04-01,-1582.0009063374391,2347.175394000064,-3237.423606499925,3490.9375
2024-05-01,9661.653276521418,7368.122436000023,12789.694514000075,-3563.4249999999997
2024-06-03,10530.999526167443,4341.995216000024,12569.835149000062,-3911.1875
2024-07-01,-5503.521151464574,-4248.77540349999,-7823.011987999989,9709.8
2024-08-01,-6567.854741965997,-12155.734425500044,-9995.02189700006,18285.9625
2024-09-03,23451.724615667295,12371.534673000091,20539.74430200006,23440.0125
2024-10-01,25905.167355118512,11528.361142999962,21585.562552999952,24982.375
2024-11-01,27276.387033365445,6175.255629500014,28387.293758000113,17875.5625
2024-12-02,-1883.1313335118289,-6443.6326510000745,-5454.749204000052,5468.7875
2025-01-02,10684.676881733329,949.8759444999445,8358.51867399992,18255.225
2025-02-03,11837.506381917041,4445.189919000119,2572.2357060001054,13397.8125
2025-03-03,10095.336161714187,12109.307103500121,-3416.3279744998767,21089.6875
2025-04-01,-224281.86275271277,-153587.81028199987,-218419.48907500002,33730.325
2025-05-01,20609.745983553334,8155.573231499997,21335.284992500056,22600.575
2025-06-02,24171.308746934752,10866.53562650003,24771.094112999974,15035.35
2025-07-01,27711.438301724873,14231.405182499935,20900.62814349996,18221.0125
2025-08-01,34195.504329086216,11040.721691500099,32365.670835000063,26970.2
